hoofdgroep;id_nummer;omschrijving;kind_van;status;discipline;lw_b;kl_b;kl_b_a;kl_b_gd;kl_b_gn;kl_b_v;lt_b;lw_n;kl_n;kl_n_a;kl_n_gd;kl_n_gn;kl_n_v;lt_n;lw_t;kl_t;kl_t_a;kl_t_gd;kl_t_gn;kl_t_v;lt_t;lw_v;kl_v;kl_v_a;kl_v_gd;kl_v_gn;kl_v_v;lt_v;element;vrkl_kort
WH;2668;GRONDWATERLIJN;;*;**;0.18;150;152;150;150;253;AL-GRONDWATERLIJN-SO;0.35;150;152;150;150;253;AL-GRONDWATERLIJN-SO;0.35;150;152;150;150;253;AL-GRONDWATERLIJN-SO;0.35;150;152;150;150;253;V-AL-GRONDWATERLIJN-SO;G;
WH;2669;HYDRAULISCH OPPERVLAK;;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;3035;DUIKER;;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;2677;VLOEDLIJN;;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;2680;WATEROVERSPANNING;;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;3356;OVERSTORT;;*;**;0.18;7;7;7;7;253;WH-OVERSTORT-SO;0.35;7;7;7;7;253;WH-OVERSTORT-SO;0.35;7;7;7;7;253;WH-OVERSTORT-SO;0.35;7;7;7;7;253;V-WH-OVERSTORT-SO;G;
WH;2674;RAAI;;*;**;0.18;10;12;10;10;253;GW-RAAI-SO;0.25;10;12;10;10;253;GW-RAAI-SO;0.25;10;12;10;10;253;GW-RAAI-SO;0.25;10;12;10;10;253;V-GW-RAAI-SO;G;
WH;2662;FREATISCH OPPERVLAK;;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;2692;STROOMRICHTING;;*;**;0.18;7;252;7;7;253;CONTINUOUS;0.35;7;252;7;7;253;CONTINUOUS;0.35;7;252;7;7;253;CONTINUOUS;0.35;7;252;7;7;253;V-CONTINUOUS-SO;G;
WH;2681;WATERPEIL;;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;2676;VLOED;;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;2675;STIJGHOOGTE;;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;3029;KUNSTWERK;;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;2660;DIEPTELIJN;;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;2667;GEUL_VAARGEUL;2663;*;**;0.18;150;152;150;150;255,127,0;CONTINUOUS;0.35;150;152;150;150;255,127,0;CONTINUOUS;0.35;150;152;150;150;255,127,0;CONTINUOUS;0.35;150;152;150;150;255,127,0;V-CONTINUOUS-SO;G;
WH;2666;GEUL_STROOMGEUL;2663;*;**;0.18;150;152;150;150;255,191,0;CONTINUOUS;0.35;150;152;150;150;255,191,0;CONTINUOUS;0.35;150;152;150;150;255,191,0;CONTINUOUS;0.35;150;152;150;150;255,191,0;V-CONTINUOUS-SO;G;
WH;2664;GEUL_HOOGWATERGEUL;2663;*;**;0.18;150;152;150;150;0,127,255;CONTINUOUS;0.35;150;152;150;150;0,127,255;CONTINUOUS;0.35;150;152;150;150;0,127,255;CONTINUOUS;0.35;150;152;150;150;0,127,255;V-CONTINUOUS-SO;G;
WH;2665;GEUL_NEVENGEUL;2663;*;**;0.18;150;152;150;150;0,255,255;CONTINUOUS;0.35;150;152;150;150;0,255,255;CONTINUOUS;0.35;150;152;150;150;0,255,255;CONTINUOUS;0.35;150;152;150;150;0,255,255;V-CONTINUOUS-SO;G;
WH;2683;WINTERBERGING;;*;**;0.18;150;152;150;150;0,153,0;WH-WINTERBERGING-SO;0.35;150;152;150;150;0,153,0;WH-WINTERBERGING-SO;0.35;150;152;150;150;0,153,0;WH-WINTERBERGING-SO;0.35;150;152;150;150;0,153,0;V-WH-WINTERBERGING-SO;G;
WH;2689;GROENE RIVIER;;*;**;0.18;90;92;90;90;0,255,191;CONTINUOUS;0.35;90;92;90;90;0,255,191;CONTINUOUS;0.35;90;92;90;90;0,255,191;CONTINUOUS;0.35;90;92;90;90;0,255,191;V-CONTINUOUS-SO;G;
WH;2663;GEUL;;*;**;0.18;150;152;150;150;0,0,255;CONTINUOUS;0.35;150;152;150;150;0,0,255;CONTINUOUS;0.35;150;152;150;150;0,0,255;CONTINUOUS;0.35;150;152;150;150;0,0,255;V-CONTINUOUS-SO;G;
WH;2673;OVERLOOPGEBIED;;*;**;0.18;150;152;150;150;255,0,0;WH-OVERLOOPGEBIED-SO;0.35;150;152;150;150;255,0,0;WH-OVERLOOPGEBIED-SO;0.35;150;152;150;150;255,0,0;WH-OVERLOOPGEBIED-SO;0.35;150;152;150;150;255,0,0;V-WH-OVERLOOPGEBIED-SO;G;
WH;2688;ZOMERBED;;*;**;0.18;150;152;150;150;0,255,0;WH-ZOMERBED-SO;0.35;150;152;150;150;0,255,0;WH-ZOMERBED-SO;0.35;150;152;150;150;0,255,0;WH-ZOMERBED-SO;0.35;150;152;150;150;0,255,0;V-WH-ZOMERBED-SO;G;
WH;2671;NAP;;*;**;;;;;;;;0.35;10;12;10;10;253;AL-NAP_LIJN-SO;;;;;;;;;;;;;;;G;
