"Issue";"Milestone";"Labels";"Release Note";"No Change";"Laatste Comment"
"#13";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"We hebben in NLCS 5.1 gekozen voor een indeling waarbij altijd het stelseltype gebruikt wordt, dat neem een deel van deze feedback weg. In het Informatiemodel NLCS zullen we de andere punten dan goed moeten onderzoeken, dit doen we in issue #751"
"#101";"Alignment GWSW";"RI_riolering-en-GWSW | BOMOS";"";"";""
"#185";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"inmiddels wordt dit vraagstuk geadresseerd in projecten die gefinancieerd worden door het DOOR-programma"
"#195";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"de relevante issues zijn hieruit gehaald voor DOOR-project rionleringen"
"#197";"Alignment GWSW";"documentation | RI_riolering-en-GWSW | Vastgesteld-in-EC";"";"";"is op deze locatie beschreven: https://nl-digigo.github.io/NLCS/ontologyalignments/#gwsw-nlcs"
"#358";"Alignment GWSW";"RI_riolering-en-GWSW | IMBOR";"";"";"nu gwsw en imbor aligned zijn en nlcs een nieuwe versie krijgt is deze vergelijking verouderd, dit gaan we elders oppakken"
"#521";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";""
"#545";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"dit is verwerkt tot een accpetance-versie"
"#631";"Alignment GWSW";"RI_riolering-en-GWSW | Ontologie";"";"";"de beheeromgeving is gereed zo te zien"
"#633";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"Besluit: we gaan redeneren vanuit NLCS naar GWSW, je kunt dan alleen de mapping gebruiken als er ook een laagnaam beschikbaar is in de NLCS."
"#635";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"De laatste vraag heb ik even een eigen issue van gemaakt zodat duidelijk is welke taak nog openstaat #756"
"#636";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"> * [x]  use cases verwerking rioleringsrevisiegegevens Dordrecht / Nijmegen / Utrecht

https://docs.crow.nl/use-cases-door/project-beheer/"
"#638";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"@gerritversteegh ik heb de naam van de beheeromgeving veranderd naar classificatie RI (rioleringen); ik wil voor elke hoofdgroep een eigen beheeromgeving en eigen publicatie maken, net zoals we dat willen doen (deo volente, na definitieve publicatie 5.1) voor de NLCS Basis"
"#639";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";""
"#652";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"Remote sources toegevoegd in [de workspace ](https://bimloket.laces-manager.tech/app/#/otl/692028b9b34a135beed4efd2/content?class=PhysicalObject&isExternal=false&isTopConcept=false)"
"#720";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"Test publicaties zijn [hier](https://hub.laces.tech/digitalbuildingdata/nlcs/test) beschikbaar, de eerste queries zijn opgeslagen bij de publicaties."
"#721";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"De relaties naar de IMBOR en GWSW zijn in [de NLCS Classificatie beheeromgeving](https://bimloket.laces-manager.tech/app/#/otl/692028b9b34a135beed4efd2/content?class=PhysicalObject&activeEntityId=a3ba7a37-7760-3456-b2d4-d1382b0c0c9a&activeEntityType=PhysicalObject&isExternal=false&isTopConcept=false) gelegd en in [de publicaties](https://hub.laces.tech/digitalbuildingdata/nlcs/test/) op te halen, inclusief queries om deze gelinkte resources te vinden."
"#722";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"het is uiteindelijk andersom gedaan, de relaties worden nu gelegd bij de ontologie"
"#723";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"Adhv overleg vorige week heb ik de volgende punten bekeken:
- Welke NLCS Tekenstandaard laagnamen (uit RI) nog geen mapping hebben met een concept uit NLCS Classificatie RI
- Welke NLCS Tekenstandaard laagnamen (uit RI) wel al een mapping hebben met welk concept uit NLCS Classificatie RI
- Welke NLCS Tekenstandaard laagnamen (uit RI) nog geen mapping hebben, maar wel dezelfde naam hebben als een concept uit NLCS Classificatie RI

Edit: Er ging inderdaad iets mis in het filter van de hoofdgroep RI, hierbij [het bestand met de juiste output](https://github.com/user-attachments/files/31296919/mappingAnalysis.xlsx)."
"#725";"Alignment GWSW";"Informatiemodel";"";"";"1.	Het Informatiemodel NLCS Objectgericht op het onderdeel rioleringen, als ttl-file, met onderdelen kern, vocabulaire en domeinwaarden in [Documentatie Informatiemodel NLCS Objectgericht 5.1](https://nl-digigo.github.io/NLCS/code_documentation_im/5-1/)

2.	Het Alignment naar GWSW en IMBOR is onderdeel van het informatiemodel NLCS Objectgericht. [Relaties NLCS 5.1 met andere standaarden](https://nl-digigo.github.io/NLCS/ontologyalignments/5-1/) geeft beschrijving van de alignments vanuit de NLCS naar andere standaarden."
"#751";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"> * IBA valt onder bouwwerk in GWSW, zou deze niet onder aansluitput of rioolput moeten vallen? (ROW 64-69)

Dit is een heel modelmatige vraag; voor de NLCS classificatie is een IBA het enige object wat telt, er is geen taxonomie boven of onder."
"#752";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"De links zijn eruit gehaald"
"#754";"Alignment GWSW";"Informatiemodel | RI_riolering-en-GWSW";"";"";"> BOB, Binnenonderkantbuis meetpunt, Hoogte t.o.v. NAP, is dit een aspect of een geometrie? Hoe kunnen we die linken naar de laagnaam DRAINAGE_RIOOLLEIDING_BOB

Aspect hoort bij riooleiding"
"#755";"Alignment GWSW";"";"";"";"ok, ik denk dat ik gok op afsluiter = rioolafsluiter en eindkap = afsluitstuk"
"#756";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";""
"#757";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";""
"#758";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";""
"#759";"Alignment GWSW";"RI_riolering-en-GWSW | publicatie";"";"";"Als je op het plusje drukt bij PhysicalObject aan de linkerkant van het scherm verschijnt Matter. Daar kan je het concept toevoegen. Het is misschien wel de vraag of metselwerk thuis hoort onder Materiaal.

<img width=""313"" height=""781"" alt=""Image"" src=""https://github.com/user-attachments/assets/a8348436-ab74-4001-8a77-d0d7fd8ca0b6"" />"
"#760";"Alignment GWSW";"RI_riolering-en-GWSW | publicatie";"";"";"Opgelost met [de nieuwe beheeromgeving](https://bimloket.laces-manager.tech/app/#/otl/6973474303e1a335a2a70597/content?class=PhysicalObject)"
"#765";"Alignment GWSW";"duplicate";"";"";"dubbel met #757"
"#766";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"Wat aantekeningen voor de publicaties (zowel core als minimal_dataset):

Voor nu is besloten om de lijst met mogelijke Materiaal-relaties op parent niveau achterwege te laten. Het vereist nog extra uitzoekwerk hoe we dit in de stylesheet kunnen opvangen. Dus is er alleen een restrictie op het niveau waar de materiaal-relaties daadwerkelijk aangemaakt zijn. Voor relaties naar MATERIAAL is in de stylesheet gezegd dat de relatie aanwezig MOET zijn, maar is niet aangeduid welk soort materiaal dat is.

e.g.:
* bij DRAINAGE_AANSLUITPUT_ONTSTOPPINGSPUT_BETON consistsOf BETON, is zowel de relatie consistsOf vereist en de uitkomst van de relatie BETON
* bij PERSLEIDING_RIOOLLEIDING consistsOf MATERIAAL, is alleen de relatie consistsOf vereist maar is de uitkomst hiervan open gelaten


Omdat bij deze dataset geredeneerd wordt vanuit een Part van een Whole (een concept dat onderdeel is van een stelsel), wordt er in de data niet gekeken/gevalideerd met de hasPart relatie, maar met de inverse hiervan. Een concept moet namelijk altijd onderdeel zijn van een stelsel, maar niet elk concept hoeft aanwezig te zijn in een stelsel.


De stylesheet verwerkt de cardinaliteit (min/maxCount) van de aspecten/parts correct, maar deze moeten wel eerst aangegeven worden in de beheeromgeving. Deze staan bij het aanmaken van deze relaties automatisch op 0 en moet dus handmatig aangepast worden. Voor de relaties naar andere concepten (e.g. PhysicalObject-Matter) kan de cardinaliteit niet in de beheeromgeving aangepast worden; voor PhysicalObject-Activity relaties (de bewerkingen) heb ik de minCount 0 gelaten en voor PhysicalObject-Matter is de minCount 1."
"#767";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"> Relatie van classificatie naar tekenstandaard: described by maken

Done

> schema aanpassen van de classificatie

Done

> schema van de tekenstandaard nlcs maken

Done"
"#771";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"dit wordt nog afgeraden door data-architect het is hetzelfde domein, maar de objecten zitten misschien wel in een andere levensfase bij de NLCS dan bij GWSW. Voor nu is een zwakkere relatie met minder consequenties bij dooredeneren over de objecten beter."
"#772";"Alignment GWSW";"Informatiemodel | RI_riolering-en-GWSW";"";"";"omdat we een skos-alignment maken is het geen probleem dat we niet dezelfde regels gebruiken in de ontologie."
"#773";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"als je in PDOK Thema stedelijk water geen stelsel hebt aangeduid, dan moet er in de transformatie naar CAD wellicht een laagnaam worden gemaakty met ""ONBEKEND"" erin. Deze laagnamen komen niet in de NLCs-database"
"#774";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"nee, dat was een foutje had alleen de relatie naar de nlcs tekenstandaard verwijderd, was de relaties in de ontologie zelf vergeten weg te halen. Bedankt"
"#784";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";""
"#785";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";""
"#805";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";""
"#806";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"en een leverancier gevonden
https://quavac.com/nl/vacuumriolering/

ter verwerking in het concept voor 6.0 als laatste item."
"#807";"Alignment GWSW";"RI_riolering-en-GWSW | Bespreken EC";"";"";"Voor mapping naar GWSW > kan dit ook naar rioolleiding gemapt worden. 

Te bespreken met expertcommissie."
"#820";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"GWSW zegt dit:
Naam	Vuilwaterstelsel  
Synoniem	DWA stelsel  
Dwa-rioolstelsel  
Vuilwaterrioolstelsel  


Dus DWA is toch logischer dan VWA"
"#2";"Alignment NLCS-IMBOR​";"thesaurus NLCS";"";"";"Ik denk dat de NLCS zo omvangrijk is dat alles in een SKOS haast een onmogelijke opgave is.
Iedere layer is uniek en moet een toelichting en uitleg krijgen waarvoor deze bedoeld is.

Gaat niet enkel om 5.5 maar de hele NLCS neem ik aan?"
"#99";"Alignment NLCS-IMBOR​";"BOMOS | IMBOR";"";"";""
"#109";"Alignment NLCS-IMBOR​";"IMBOR";"";"";"**Startpunt werkgroep afstemming NLCS-IMBOR**
Op basis van de terminologische projectie van NLCS 5.0 naar IMBOR 2022 uit #110 zijn er twee overzichten opgesteld die in dit bericht zijn bijgevoegd. 

(i) Een overzicht van alle IMBOR-objecttypen uit versie 2022 die niet worden benoemd in de projectie en de op dit moment al vastgestelde toe te voegen IMBOR-objecttypen uit versie 2024. 
(ii) Idem voor de classificerende verschijningsvormen.

Zie:
[20231013_Ontbrekende.IMBOR-objecttypen.en.-verschijningsvormen.xlsx](https://github.com/bimloket/NLCS/files/12890815/20231013_Ontbrekende.IMBOR-objecttypen.en.-verschijningsvormen.xlsx)

De relevantie van de ontbrekende objecttypen en verschijningsvormen voor NLCS zal worden beoordeeld door de Commissie NLCS-IMBOR. Indien relevant bevonden zullen er corresponderende wijzigingsvoorstellen worden opgesteld. Nota bene dat deze overzichten werk in uitvoering betreffen die direct afhankelijk zijn van de invulling van de projectie uit #110.

**Update 13-10-2023**
Officiële en officieuze IMBOR-vakdisciplines toegevoegd aan het overzicht t.b.v. filtering voor de commissieleden."
"#110";"Alignment NLCS-IMBOR​";"IMBOR";"";"";"Uitbreidingen voor IMBOR zijn afgelopen week bij de IMBOR-GitHub ingebracht, zie hierboven."
"#111";"Alignment NLCS-IMBOR​";"IMBOR";"";"";"3e use case: attribuutinformatie uit beheersysteem meegeven in CAD

4e use case: attribuutinformatie conform imbor meeleveren bij de objecten in de CAD-tekening"
"#113";"Alignment NLCS-IMBOR​";"IMBOR";"";"";"Deze issue kan gesloten worden, de doelstellingen van het project worden opgehelderd en getracked via #187"
"#138";"Alignment NLCS-IMBOR​";"IMBOR | Project <> Beheer";"";"";"voor dit porject is geen financiering gevonden, deelvragen zijn opgenomen in ontwikkelingsissues op de backlog"
"#178";"Alignment NLCS-IMBOR​";"thesaurus NLCS";"";"";""
"#179";"Alignment NLCS-IMBOR​";"IMBOR";"";"";""
"#180";"Alignment NLCS-IMBOR​";"IMBOR";"";"";""
"#181";"Alignment NLCS-IMBOR​";"IMBOR";"";"";""
"#182";"Alignment NLCS-IMBOR​";"IMBOR";"";"";""
"#187";"Alignment NLCS-IMBOR​";"IMBOR";"";"";""
"#333";"Alignment NLCS-IMBOR​";"IMBOR | AL - Algemeen";"";"";"Eens, buiten scope en daarmee sluit ik deze issue af"
"#334";"Alignment NLCS-IMBOR​";"IMBOR | AM assen en metrering";"";"";"Op basis van de projectie van AM naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Het resultaat is het bijgevoegde document:
[20240701_AM_NLCS-vocabulaire-o.b.v.IMBOR.xlsx](https://github.com/user-attachments/files/16053847/20240701_AM_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)"
"#335";"Alignment NLCS-IMBOR​";"BC betonconstructies | IMBOR";"";"";"akkoord, buiten scope, daarmee sluit ik deze issue"
"#336";"Alignment NLCS-IMBOR​";"IMBOR | BV bermbeveiligingsvoorziening";"";"";"Op basis van de projectie van BV naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Het resultaat is het bijgevoegde document:
[20240701_BV_NLCS-vocabulaire-o.b.v.IMBOR.xlsx](https://github.com/user-attachments/files/16051370/20240701_BV_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)"
"#337";"Alignment NLCS-IMBOR​";"IMBOR | FC Funderingsconstructies";"";"";"Op basis van de projectie van FC naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Zie: 
[20240701_FC_NLCS-vocabulaire-o.b.v.IMBOR.xlsx](https://github.com/user-attachments/files/16053480/20240701_FC_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)"
"#338";"Alignment NLCS-IMBOR​";"IMBOR | FV faunavoorzieningen";"";"";"Op basis van de projectie van FV naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Het resultaat is het bijgevoegde document:
[20240527_FV_NLCS-vocabulaire-o.b.v.IMBOR.xlsx](https://github.com/user-attachments/files/16050655/20240527_FV_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)"
"#339";"Alignment NLCS-IMBOR​";"IMBOR | GC Grondkerende constructies";"";"";"Op basis van de projectie van GC naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Het resultaat is het bijgevoegde document:
[20240603_GC_NLCS-vocabulaire-o.b.v.IMBOR.xlsx](https://github.com/user-attachments/files/15534654/20240603_GC_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)"
"#340";"Alignment NLCS-IMBOR​";"IMBOR | GK Grondkeringen";"";"";"Op basis van de projectie van GK naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Het resultaat is het bijgevoegde document: 
[20240419_GK_NLCS-vocabulaire-o.b.v. IMBOR.xlsx](https://github.com/nl-digigo/NLCS/files/15291807/20240419_GK_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)"
"#341";"Alignment NLCS-IMBOR​";"IMBOR | GR-Groen-inclusief-bomen";"";"";"Op basis van de projectie van GR naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Het resultaat is het bijgevoegde document: 
[20240508_GR_NLCS-vocabulaire-o.b.v. IMBOR.xlsx](https://github.com/nl-digigo/NLCS/files/15291799/20240508_GR_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)"
"#342";"Alignment NLCS-IMBOR​";"IMBOR | GW-grondwerk";"";"";"Op basis van de projectie van GW naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Het resultaat is het bijgevoegde document:
[20240729_GW_NLCS-vocabulaire-o.b.v.IMBOR.xlsx](https://github.com/user-attachments/files/16413821/20240729_GW_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)"
"#343";"Alignment NLCS-IMBOR​";"IMBOR | HC - houtconstructies";"";"";"Vastgesteld op buiten scope van IMBOR, daarmee wordt deze issue afgesloten"
"#344";"Alignment NLCS-IMBOR​";"IMBOR | HU hulpconstructies";"";"";"duidelijk, en omdat deze hoofdgroep buiten scope is voor IMBOR sluit ik nu deze issue af"
"#345";"Alignment NLCS-IMBOR​";"IMBOR | IE-inrichtingselementen";"";"";"Op basis van de projectie van IE naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Het resultaat is het bijgevoegde document:
[20240527_IE_NLCS-vocabulaire-o.b.v.IMBOR.xlsx](https://github.com/user-attachments/files/15990359/20240527_IE_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)"
"#346";"Alignment NLCS-IMBOR​";"IMBOR | IV Installaties vaarweg";"";"";"Op basis van de projectie van IV naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Het resultaat is het bijgevoegde document:
[20240527_IV_NLCS-vocabulaire-o.b.v.IMBOR.xlsx](https://github.com/user-attachments/files/15990365/20240527_IV_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)"
"#347";"Alignment NLCS-IMBOR​";"IMBOR | IW installaties weg";"";"";"Op basis van de projectie van IW naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Het resultaat is het bijgevoegde document:
[20240626_IW_NLCS-vocabulaire-o.b.v.IMBOR.xlsx](https://github.com/user-attachments/files/15990967/20240626_IW_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)

Algemene opmerkingen vanuit de NLCS-IMBOR commissie:
- IW: incompleet: bijv. de onderdelen van de constructie van de verkeersregelinstallatie zelf.
- Regel- of aansturingskast  ontbreken hier ook.
- Het is geen van de leden bekend wat 'VS' is in de laagnamen IW-VS_DRAAGCONSTRUCTIE-G en IW-VS-G/S"
"#348";"Alignment NLCS-IMBOR​";"IMBOR | KC Kunststofconstructies";"";"";"Buiten scope, daarmee sluit ik deze issue af"
"#349";"Alignment NLCS-IMBOR​";"IMBOR | KG - Kadastrale informatie en grenzen";"";"";"Op basis van de projectie van KG naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Het resultaat is het bijgevoegde document:
[20240626_KG_NLCS-vocabulaire-o.b.v.IMBOR.xlsx](https://github.com/user-attachments/files/15991045/20240626_KG_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)"
"#350";"Alignment NLCS-IMBOR​";"IMBOR | KL kabels en leidingen";"";"";""
"#351";"Alignment NLCS-IMBOR​";"IMBOR | KW kunstwerken";"";"";"Deze projecttabel is verwerk in een beheeromgeving met deze issues:

I have created a workspace (NLCS - IMBOR) with a flat list of nlcs terms (gk_vh_gr_kw_fv_ie_iv_vv_vocabulaires), remote linked to imbor terms. 

There are a few things to mention:

- There are some duplicate rows (14 in total)
- There are some nlcs objects linked with different imbor terms (i.e., staal, beton), sometimes with different relations. For those, I created one single object in Laces and linked multiple imbor terms with it.
- Same goes for imbor terms. Some of them are mapped with different nlcs objects (see Boomkrans)
- There are some missing imbor terms: couldn't be retrieved by sparql query (from KERN or Domeinwaarden), see picture below.

![missingimborterms](https://github.com/user-attachments/assets/8461cca4-3fc2-4257-bf71-bb42ad52bd26)"
"#352";"Alignment NLCS-IMBOR​";"IMBOR | MC Mechanische constructies";"";"";"Akkoord buiten scope van IMBOR, daarmee sluit ik deze issue"
"#354";"Alignment NLCS-IMBOR​";"IMBOR | MW metselwerk";"";"";"buiten scope IMBOR, daarmee sluit ik deze issue"
"#355";"Alignment NLCS-IMBOR​";"IMBOR | OB Oeverbescherming";"";"";"Op basis van de projectie van OB naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Zie: 
[20240719_OB_NLCS-vocabulaire-o.b.v.IMBOR_definitief.xlsx](https://github.com/user-attachments/files/16310213/20240719_OB_NLCS-vocabulaire-o.b.v.IMBOR_definitief.xlsx)"
"#356";"Alignment NLCS-IMBOR​";"IMBOR | OG-ondergrond";"";"";"Op basis van de projectie van OG naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Het resultaat is het bijgevoegde document:
[20240719_OG_NLCS-vocabulaire-o.b.v.IMBOR.xlsx](https://github.com/user-attachments/files/16311614/20240719_OG_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)"
"#357";"Alignment NLCS-IMBOR​";"IMBOR | OV Openbare verlichting";"";"";"Op basis van de projectie van OV naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Het resultaat is het bijgevoegde document:
[20240626_OV_NLCS-vocabulaire-o.b.v.IMBOR.xlsx](https://github.com/user-attachments/files/15990959/20240626_OV_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)


Algemene opmerkingen vanuit de NLCS-IMBOR commissie:

- AARDKABEL toevoegen als subobject van AARDING
- LAS vs. LASKAST: wat is het verschil in NLCS?
- Voor de connectie tussen beheer en ontwerp zou het zeer nuttig zijn om laagnamen als 'work in progress' te bestempelen vanuit de standaard zelf. Voor de transformatie naar beheerdata zou er een melding gegeven kunnen worden dat die laagnamen nader uitgewerkt moeten worden."
"#359";"Alignment NLCS-IMBOR​";"IMBOR | SC staalconstructies";"";"";"Akkoord, wegens buiten scope IMBOR sluit ik deze issue"
"#360";"Alignment NLCS-IMBOR​";"IMBOR | VH - verhardingen";"";"";"Op basis van de projectie van VH naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Het resultaat is het bijgevoegde document: 
[20240513_VH_NLCS-vocabulaire-o.b.v. IMBOR.xlsx](https://github.com/nl-digigo/NLCS/files/15291809/20240513_VH_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)"
"#361";"Alignment NLCS-IMBOR​";"IMBOR | VV verkeersmaatregelen vaarweg";"";"";"Op basis van de projectie van VV naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Het resultaat is het bijgevoegde document:
[20240527_VV_NLCS-vocabulaire-o.b.v.IMBOR.xlsx](https://github.com/user-attachments/files/16050643/20240527_VV_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)"
"#362";"Alignment NLCS-IMBOR​";"IMBOR | VW Verkeersmaatregelen Weg";"";"";"Op basis van de projectie van VW naar IMBOR is een voorzet gedaan voor het opzetten van een NLCS-vocabulaire voor deze hoofdgroep. Het NLCS-vocabulaire bestaat uit alle 'termen' (objecten en subobjecten) die in de laagnamen van de hoofdgroep worden gebruikt. Voor ieder van deze termen zijn de mogelijke relaties - en de skos:MappingProperties van die relaties - met de termen uit het IMBOR vocabulaire bepaald.

Zie (excl. markeringen):
[20240701_VW_NLCS-vocabulaire-o.b.v.IMBOR.xlsx](https://github.com/user-attachments/files/16053671/20240701_VW_NLCS-vocabulaire-o.b.v.IMBOR.xlsx)"
