;;; File   : RTW_*_sym.dat
;;; Functie: Tabel met alle RTW symbolen voor bibliotheek * 
;;;POS_AANTSYM   - 140 - aantal symbolen in betreffende hoofdgroep
;;;POS_SYMNAAM   - 5   - symboolnaam
;;;POS_SYMLAYER  - 45  - defintielaag v/h symbool objectmode
;;;POS_SYMLAYER1 - 75  - defintielaag v/h symbool geom mode bs
;;;POS_SYMLAYER2 - 105 - defintielaag v/h symbool geom mode nw en vw
;;;POS_OMSCHR    - 350 - omschrijving
;;;POS_VAR       - 135 - variable ja=1 nee=2 1=met atribute 2=zonder attribute
;;;POS_UNIT      - 140 - 1 = mm  2 = m
;;;POS_TYPE      - 145 - 1 = MS  2 = PS  3 MS/PS
;;;POS_PSCALE    - 150 - presentatie schaalfactor voor POS_TYPE 3 in PS
;;;POS_MIR       - 165 - mirror xy  0=vrij  1=nietvrij niet spiegelen 2=nietvrij spiegelen
;;;POS_DIR       - 170 - subdir onder symbol
;;;POS_INFO1     - 200 - informatieregel 1
;;;POS_INFO2     - 250 - informatieregel 2
;;;POS_INFO3     - 300 - informatieregel 3

Posities:
POS_AANTSYM        140
POS_SYMNAAM        5
POS_SYMLAYER       45
POS_SYMLAYER1      75
POS_SYMLAYER2      105
POS_OMSCHR         350
POS_VAR            135
POS_UNIT           140
POS_TYPE           145
POS_PSSCALE        150
POS_MIR            165
POS_DIR            170
POS_INFO1          200
POS_INFO1          250
POS_INFO1          300

    5                                       45                            75                            105                           135  140  145  150            165  170                           200                                               250                                               300                                               350

*Wapening                                                                                                                                  5 
1   wp-wapening_laag1                       wp-**-hoofdwapening           *                             *                             22   1    2    1              00   wp                            .                                                 .                                                 .                                                 Wapening in buitenste laag
2   wp-wapening_laag2                       wp-**-hoofdwapening           *                             *                             22   1    2    1              00   wp                            .                                                 .                                                 .                                                 Wapening 2de laag v buitenaf
3   wp-wapening_laag3                       wp-**-hoofdwapening           *                             *                             22   1    2    1              00   wp                            .                                                 .                                                 .                                                 Wapening 3de laag v buitenaf
4   wp-afbreek                              wp-**-hoofdwapening           *                             *                             22   1    2    1              00   wp                            .                                                 .                                                 .                                                 Afbreekteken doorlopende staaf
5   wp-deeleinde                            wp-**-hoofdwapening           *                             *                             22   1    2    1              00   wp                            .                                                 .                                                 .                                                 Beeindiging deel v/d wapening
*Voorspanning                                                                                                                              24 
1   vs-vza_3_voorspanelement_bovenaanzicht  *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vza - 3 voorspanelementen in bovenaanz
2   vs-vma_intrekkingsvrij_anker            *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vma - intrekkingsvrij anker
3   vs-vma_kanaal_doorsnede                 *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vma - kanaal doorsnede
4   vs-vma_koppeling                        *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vma - koppeling
5   vs-vma_niet_spananker                   *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vma - niet spananker
6   vs-vma_ontluchting_injectie             *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vma - ontluchting / injectie
7   vs-vma_spananker                        *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vma - spananker
8   vs-vma_spananker_met_koppeling          *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vma - spananker met koppeling
9   vs-vma_verankering                      *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vma - verankering
10  vs-vma_voorspanelement_doorsnede        *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vma - voorspanelement in doorsnede
11  vs-vma_blind_anker                      *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vma - blind anker
12  vs-vza_2_voorspanelement_bovenaanzicht  *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vza - 2 voorspanelementen in bovenaanz
13  vs-vza_wapvorm                          *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vza - vorm wapeningsstaaf = verloop vza
14  vs-vza_4_voorspanelement_bovenaanzicht  *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vza - 4 voorspanelementen in bovenaanz
15  vs-vza_5_voorspanelement_bovenaanzicht  *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vza - 5 voorspanelementen in bovenaanz
16  vs-vza_blinde_verankering               *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vza - blinde verankering
17  vs-vza_kruising                         *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vza - kruising voorspanelementen
18  vs-vza_spanverankering_schuin           *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vza - spanverankering schuin
19  vs-vza_tussenspanpunt                   *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vza - tussenspanpunt
20  vs-vza_verankering                      *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vza - verankering
21  vs-vza_verankering_kopaanzicht          *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vza - verankering in kopaanzicht
22  vs-vza_volgorde                         *                             *                             *                             21   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vza - volgorde van leggen
23  vs-vza_wapstaaf_voorspanelement         *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vza - bevest. wapening - voorspanelement
24  vs-vza_1_voorspanelement_bovenaanzicht  *                             *                             *                             22   1    2    1              00   vs                            conform NEN3870                                   .                                                 .                                                 vza - 1 voorspanelement in bovenaanz
*Funderingsconstructies                                                                                                                    14 
1   pp-paal01                               fc-**-paal_beton_prefab       **-bs-geo_18cont5             **-**-geo_35cont5             12   2    1    1              11   fc                            paal 1m / 1000mm                                  verschaalbaar                                     bv 0.5 voor paal 0.5/500                          Betonnen paal prefab 1
